year,region,product_category,sales_revenue,units_sold,cost
2019,North,Electronics,45000,120,32000
2020,South,Furniture,38000,85,28000
2021,North,Electronics,52000,145,36000
2021,East,Clothing,41000,210,29000
2022,North,Furniture,48000,92,34000
2022,West,Electronics,55000,160,38000
2021,South,Clothing,39000,195,27000
2023,North,Electronics,61000,175,42000
2022,East,Furniture,44000,88,31000
2023,North,Clothing,46000,230,32000
2021,West,Electronics,49000,138,34000
2022,South,Furniture,42000,94,30000
2023,North,Furniture,53000,105,37000
2021,North,Clothing,43000,215,30000
2022,East,Electronics,58000,168,40000
2023,South,Clothing,47000,240,33000
2021,West,Furniture,40000,82,28000
2022,North,Electronics,59000,172,41000
2023,East,Clothing,50000,255,35000
2023,North,Electronics,64000,185,44000
2024,South,Clothing,54000,220,31000

